timestamp,episode,step,fail_reason,action_type,floor,tileX,tileY,rotation,aimSector
2026-04-13 15:45:13,0,1,NO_SUPPORT,FLOOR,0,4,5,0,12
2026-04-13 15:45:13,0,2,BAD_SOCKET,WALL,7,4,3,3,12
2026-04-13 15:45:13,0,3,NO_SUPPORT,WALL,1,3,4,3,12
2026-04-13 15:45:13,0,4,BAD_SOCKET,FLOOR,3,4,3,1,12
2026-04-13 15:45:13,0,5,BAD_SOCKET,TRIANGLE_FLOOR,7,5,4,0,12
2026-04-13 15:45:25,5,1,BAD_SOCKET,WALL,2,3,4,0,12
2026-04-13 15:45:25,5,2,BAD_SOCKET,FLOOR,7,4,3,0,12
2026-04-13 15:45:25,5,3,NO_SUPPORT,FLOOR,0,3,4,2,12
2026-04-13 15:45:25,5,4,BAD_SOCKET,LOOT_ROOM,2,3,3,0,12
2026-04-13 15:45:28,5,5,BAD_SOCKET,WINDOW_FRAME,4,4,3,3,12
2026-04-13 15:46:30,10,1,BAD_SOCKET,FLOOR,6,5,4,2,12
2026-04-13 15:46:30,10,2,BAD_SOCKET,WINDOW_FRAME,2,3,4,1,12
2026-04-13 15:46:30,10,3,BAD_SOCKET,FLOOR,3,5,4,0,12
2026-04-13 15:46:30,10,4,BAD_SOCKET,FOUNDATION,0,3,4,1,12
2026-04-13 15:46:33,10,5,BAD_SOCKET,TRIANGLE_FLOOR,0,4,3,3,12
