timestamp,episode,step,fail_reason,action_type,floor,tileX,tileY,rotation,aimSector
2026-04-14 23:29:28,0,1,BAD_SOCKET,WALL,6,3,4,0,12
2026-04-14 23:29:28,0,3,BAD_SOCKET,FLOOR,7,4,3,3,12
2026-04-14 23:29:28,0,4,BAD_SOCKET,TRIANGLE_FLOOR,0,3,4,1,12
2026-04-14 23:29:28,0,5,BAD_SOCKET,TC,2,4,4,0,12
2026-04-14 23:29:28,0,6,BAD_SOCKET,FLOOR,6,4,3,1,12
2026-04-14 23:31:05,5,1,BAD_SOCKET,WINDOW_FRAME,5,3,2,0,12
2026-04-14 23:31:05,5,2,BAD_SOCKET,FLOOR,5,2,3,1,12
2026-04-14 23:31:06,5,3,BAD_SOCKET,TC,2,3,3,3,12
2026-04-14 23:31:06,5,4,BAD_SOCKET,TRIANGLE_FLOOR,2,2,3,2,12
2026-04-14 23:31:07,5,5,BAD_SOCKET,WINDOW_FRAME,3,3,4,3,12
2026-04-14 23:32:17,10,1,BAD_SOCKET,FLOOR,2,3,4,1,12
2026-04-14 23:32:17,10,2,BAD_SOCKET,DOORWAY,4,4,3,1,12
2026-04-14 23:32:18,10,4,BAD_SOCKET,TRIANGLE_FLOOR,2,4,5,2,12
2026-04-14 23:32:19,10,6,NO_SUPPORT,TRIANGLE_FLOOR,0,4,3,3,12
2026-04-14 23:32:21,10,7,BAD_SOCKET,DOORWAY,5,4,5,1,12
2026-04-14 23:32:45,10,2,BAD_SOCKET,FLOOR,2,3,4,3,12
2026-04-14 23:32:45,10,3,BAD_SOCKET,WALL,6,3,2,3,12
2026-04-14 23:32:45,10,4,BAD_SOCKET,TRIANGLE_FLOOR,4,4,3,0,12
2026-04-14 23:32:45,10,5,NO_SUPPORT,DOORWAY,1,3,2,1,12
2026-04-14 23:32:45,10,6,BAD_SOCKET,FLOOR,4,4,3,2,12
2026-04-14 23:34:00,15,1,BAD_SOCKET,DOORWAY,5,3,2,1,12
2026-04-14 23:34:00,15,2,BAD_SOCKET,WALL,7,3,2,1,12
2026-04-14 23:34:02,15,3,BAD_SOCKET,DOORWAY,5,3,4,2,12
2026-04-14 23:34:02,15,4,BAD_SOCKET,FLOOR,2,3,4,3,12
2026-04-14 23:34:02,15,1,BAD_SOCKET,DOORWAY,5,3,2,1,12
2026-04-14 23:34:02,15,2,BAD_SOCKET,WALL,7,3,2,1,12
2026-04-14 23:34:04,15,5,NO_SUPPORT,WORKBENCH,1,3,3,0,12
2026-04-14 23:34:05,15,3,BAD_SOCKET,DOORWAY,5,3,4,2,12
2026-04-14 23:34:05,15,4,BAD_SOCKET,FLOOR,2,3,4,3,12
2026-04-14 23:34:07,15,5,NO_SUPPORT,WORKBENCH,1,3,3,0,12
2026-04-14 23:35:49,20,1,BAD_SOCKET,DOORWAY,6,5,4,3,12
2026-04-14 23:35:49,20,2,BAD_SOCKET,WINDOW_FRAME,2,4,3,2,12
2026-04-14 23:35:52,20,3,BAD_SOCKET,WINDOW_FRAME,4,4,3,2,12
2026-04-14 23:35:52,20,4,BAD_SOCKET,TRIANGLE_FLOOR,5,4,5,1,12
2026-04-14 23:35:52,20,1,BAD_SOCKET,DOORWAY,6,5,4,3,12
2026-04-14 23:35:52,20,2,BAD_SOCKET,WINDOW_FRAME,2,4,3,2,12
2026-04-14 23:35:54,20,5,NO_SUPPORT,DOORWAY,1,4,5,3,12
2026-04-14 23:35:54,20,3,BAD_SOCKET,WINDOW_FRAME,4,4,3,2,12
2026-04-14 23:35:54,20,4,BAD_SOCKET,TRIANGLE_FLOOR,5,4,5,1,12
2026-04-14 23:35:57,20,5,NO_SUPPORT,DOORWAY,1,4,5,3,12
2026-04-14 23:38:11,25,1,BAD_SOCKET,WINDOW_FRAME,5,3,4,0,12
2026-04-14 23:38:13,25,3,BAD_SOCKET,WINDOW_FRAME,7,2,3,1,12
2026-04-14 23:38:13,25,4,BAD_SOCKET,TRIANGLE_FLOOR,2,3,4,3,12
2026-04-14 23:38:15,25,1,BAD_SOCKET,WINDOW_FRAME,5,3,4,0,12
2026-04-14 23:38:15,25,5,BAD_SOCKET,WINDOW_FRAME,6,3,4,0,12
2026-04-14 23:38:15,25,6,BAD_SOCKET,DOORWAY,3,3,4,0,12
2026-04-14 23:38:17,25,3,BAD_SOCKET,WINDOW_FRAME,7,2,3,1,12
2026-04-14 23:38:17,25,4,BAD_SOCKET,TRIANGLE_FLOOR,2,3,4,3,12
2026-04-14 23:38:19,25,5,BAD_SOCKET,WINDOW_FRAME,6,3,4,0,12
2026-04-14 23:38:19,25,6,BAD_SOCKET,DOORWAY,3,3,4,0,12
2026-04-14 23:40:13,30,1,BAD_SOCKET,FLOOR,4,4,3,0,12
2026-04-14 23:40:13,30,2,BAD_SOCKET,WINDOW_FRAME,6,4,3,0,12
2026-04-14 23:40:15,30,4,BAD_SOCKET,DOORWAY,4,4,3,3,12
2026-04-14 23:40:16,30,1,BAD_SOCKET,FLOOR,4,4,3,0,12
2026-04-14 23:40:16,30,2,BAD_SOCKET,WINDOW_FRAME,6,4,3,0,12
2026-04-14 23:40:17,30,5,BAD_SOCKET,TRIANGLE_FLOOR,4,4,3,0,12
2026-04-14 23:40:17,30,6,BAD_SOCKET,TRIANGLE_FLOOR,2,3,4,1,12
2026-04-14 23:40:18,30,4,BAD_SOCKET,DOORWAY,4,4,3,3,12
2026-04-14 23:40:20,30,5,BAD_SOCKET,TRIANGLE_FLOOR,4,4,3,0,12
2026-04-14 23:40:20,30,6,BAD_SOCKET,TRIANGLE_FLOOR,2,3,4,1,12
2026-04-14 23:42:06,35,1,BAD_SOCKET,TRIANGLE_FLOOR,7,4,3,2,12
2026-04-14 23:42:06,35,2,NO_SUPPORT,TRIANGLE_FLOOR,0,4,3,3,12
2026-04-14 23:42:09,35,3,NO_SUPPORT,TRIANGLE_FLOOR,0,4,5,1,12
2026-04-14 23:42:09,35,4,BAD_SOCKET,DOORWAY,7,4,3,1,12
2026-04-14 23:42:09,35,1,BAD_SOCKET,TRIANGLE_FLOOR,7,4,3,2,12
2026-04-14 23:42:09,35,2,NO_SUPPORT,TRIANGLE_FLOOR,0,4,3,3,12
2026-04-14 23:42:11,35,5,BAD_SOCKET,WALL,2,4,5,2,12
2026-04-14 23:42:11,35,3,NO_SUPPORT,TRIANGLE_FLOOR,0,4,5,1,12
2026-04-14 23:42:11,35,4,BAD_SOCKET,DOORWAY,7,4,3,1,12
2026-04-14 23:42:13,35,5,BAD_SOCKET,WALL,2,4,5,2,12
2026-04-14 23:44:07,40,1,BAD_SOCKET,DOORWAY,7,4,3,0,12
2026-04-14 23:44:07,40,2,BAD_SOCKET,WINDOW_FRAME,2,2,3,3,12
2026-04-14 23:44:10,40,3,BAD_SOCKET,WALL,4,3,4,3,12
2026-04-14 23:44:10,40,4,BAD_SOCKET,WINDOW_FRAME,2,3,2,0,12
2026-04-14 23:44:12,40,5,BAD_SOCKET,FLOOR,7,3,2,3,12
2026-04-14 23:44:13,40,1,BAD_SOCKET,DOORWAY,7,4,3,0,12
2026-04-14 23:44:13,40,2,BAD_SOCKET,WINDOW_FRAME,2,2,3,3,12
2026-04-14 23:44:15,40,3,BAD_SOCKET,WALL,4,3,4,3,12
2026-04-14 23:44:15,40,4,BAD_SOCKET,WINDOW_FRAME,2,3,2,0,12
2026-04-14 23:44:17,40,5,BAD_SOCKET,FLOOR,7,3,2,3,12
2026-04-14 23:46:37,45,1,BAD_SOCKET,DOORWAY,7,4,3,1,12
2026-04-14 23:46:37,45,2,NO_SUPPORT,DOORWAY,1,5,4,3,12
2026-04-14 23:46:39,45,3,NO_SUPPORT,WINDOW_FRAME,1,4,3,1,12
2026-04-14 23:46:39,45,4,BAD_SOCKET,WALL,6,3,4,3,12
2026-04-14 23:46:41,45,5,BAD_SOCKET,WINDOW_FRAME,7,5,4,2,12
2026-04-14 23:46:44,45,1,BAD_SOCKET,DOORWAY,7,4,3,1,12
2026-04-14 23:46:44,45,2,NO_SUPPORT,DOORWAY,1,5,4,3,12
2026-04-14 23:46:46,45,3,NO_SUPPORT,WINDOW_FRAME,1,4,3,1,12
2026-04-14 23:46:46,45,4,BAD_SOCKET,WALL,6,3,4,3,12
2026-04-14 23:46:48,45,5,BAD_SOCKET,WINDOW_FRAME,7,5,4,2,12
2026-04-14 23:48:21,50,1,BAD_SOCKET,TRIANGLE_FLOOR,6,5,4,3,12
2026-04-14 23:48:21,50,2,BAD_SOCKET,TRIANGLE_FLOOR,6,3,4,0,12
2026-04-14 23:48:23,50,3,BAD_SOCKET,TRIANGLE_FOUNDATION,0,3,4,2,12
2026-04-14 23:48:23,50,4,BAD_SOCKET,DOORWAY,4,3,4,0,12
2026-04-14 23:48:25,50,5,NO_SUPPORT,FLOOR,1,4,5,2,12
2026-04-14 23:48:28,50,1,BAD_SOCKET,TRIANGLE_FLOOR,6,5,4,3,12
2026-04-14 23:48:28,50,2,BAD_SOCKET,TRIANGLE_FLOOR,6,3,4,0,12
2026-04-14 23:48:30,50,3,BAD_SOCKET,TRIANGLE_FOUNDATION,0,3,4,2,12
2026-04-14 23:48:30,50,4,BAD_SOCKET,DOORWAY,4,3,4,0,12
2026-04-14 23:48:32,50,5,NO_SUPPORT,FLOOR,1,4,5,2,12
2026-04-14 23:49:48,55,1,BAD_SOCKET,TRIANGLE_FLOOR,4,4,3,0,12
2026-04-14 23:49:48,55,2,BAD_SOCKET,FLOOR,6,3,2,2,12
2026-04-14 23:49:50,55,3,BAD_SOCKET,WINDOW_FRAME,7,4,3,0,12
2026-04-14 23:49:50,55,4,BAD_SOCKET,DOORWAY,3,2,3,3,12
2026-04-14 23:49:52,55,5,BAD_SOCKET,WALL,4,3,2,3,12
2026-04-14 23:49:57,55,1,BAD_SOCKET,TRIANGLE_FLOOR,4,4,3,0,12
2026-04-14 23:49:57,55,2,BAD_SOCKET,FLOOR,6,3,2,2,12
2026-04-14 23:49:59,55,3,BAD_SOCKET,WINDOW_FRAME,7,4,3,0,12
2026-04-14 23:49:59,55,4,BAD_SOCKET,DOORWAY,3,2,3,3,12
2026-04-14 23:50:01,55,5,BAD_SOCKET,WALL,4,3,2,3,12
2026-04-14 23:51:51,60,1,BAD_SOCKET,TRIANGLE_FLOOR,7,2,3,0,12
2026-04-14 23:51:51,60,2,NO_SUPPORT,TRIANGLE_FLOOR,0,3,4,0,12
2026-04-14 23:51:53,60,3,BAD_SOCKET,DOORWAY,5,2,3,1,12
2026-04-14 23:51:53,60,4,BAD_SOCKET,WALL,6,3,2,3,12
2026-04-14 23:51:55,60,5,BAD_SOCKET,DOORWAY,2,2,3,3,12
2026-04-14 23:51:58,60,1,BAD_SOCKET,TRIANGLE_FLOOR,7,2,3,0,12
2026-04-14 23:51:58,60,2,NO_SUPPORT,TRIANGLE_FLOOR,0,3,4,0,12
2026-04-14 23:52:01,60,3,BAD_SOCKET,DOORWAY,5,2,3,1,12
2026-04-14 23:52:01,60,4,BAD_SOCKET,WALL,6,3,2,3,12
2026-04-14 23:52:03,60,5,BAD_SOCKET,DOORWAY,2,2,3,3,12
2026-04-14 23:54:21,65,1,BAD_SOCKET,WALL,7,4,5,3,12
2026-04-14 23:54:21,65,2,BAD_SOCKET,TRIANGLE_FLOOR,6,4,3,0,12
2026-04-14 23:54:23,65,3,BAD_SOCKET,DOORWAY,3,4,3,1,12
2026-04-14 23:54:23,65,4,BAD_SOCKET,WINDOW_FRAME,6,3,4,1,12
2026-04-14 23:54:25,65,5,BAD_SOCKET,TRIANGLE_FOUNDATION,0,3,4,2,12
2026-04-14 23:54:27,65,1,BAD_SOCKET,WALL,7,4,5,3,12
2026-04-14 23:54:27,65,2,BAD_SOCKET,TRIANGLE_FLOOR,6,4,3,0,12
2026-04-14 23:54:29,65,3,BAD_SOCKET,DOORWAY,3,4,3,1,12
2026-04-14 23:54:29,65,4,BAD_SOCKET,WINDOW_FRAME,6,3,4,1,12
2026-04-14 23:54:31,65,5,BAD_SOCKET,TRIANGLE_FOUNDATION,0,3,4,2,12
2026-04-14 23:57:13,70,1,BAD_SOCKET,TRIANGLE_FLOOR,7,4,3,1,12
2026-04-14 23:57:13,70,2,BAD_SOCKET,FLOOR,1,4,3,1,12
2026-04-14 23:57:15,70,4,BAD_SOCKET,WALL,4,4,5,3,12
