timestamp,epoch,episodes,avg_reward,best_reward_all_time,best_ep_reward,epsilon,loss,invalid_rate_pct,total_blocks,ram_mb,best_base_blocks,best_base_tc,best_base_doors,epoch_time_sec
2026-04-14 23:12:27,1,11,-1.4209,5.9746,5.9746,0.82925,0.010134,84.3,35,108,10,NO,1,110.8
2026-04-14 23:14:25,2,11,-1.2932,15.5342,15.5342,0.68766,0.011678,84.1,29,194,7,YES,1,118.1
2026-04-14 23:17:22,3,11,-1.6563,15.5342,5.8789,0.57024,0.012457,82.9,46,89,7,YES,1,177.5
2026-04-14 23:19:46,4,11,-1.4845,15.5342,5.7030,0.47287,0.018877,84.9,33,122,7,YES,1,143.6
2026-04-14 23:21:49,5,11,-1.4764,15.5342,5.5613,0.39213,0.015490,85.3,27,56,7,YES,1,122.6
2026-04-14 23:24:05,6,11,-1.5909,15.5342,4.8913,0.32517,0.027443,86.1,28,122,7,YES,1,136.5
2026-04-14 23:27:22,7,11,-1.3776,17.1106,17.1106,0.26965,0.018558,81.3,57,88,8,YES,0,196.7
2026-04-14 23:30:39,8,11,-1.6349,17.1106,5.9965,0.22361,0.065936,84.3,37,134,8,YES,0,196.9
