timestamp,episode,step,fail_reason,action_type,floor,tileX,tileY,rotation,aimSector
2026-04-14 23:24:00,65,3,BAD_SOCKET,WINDOW_FRAME,2,3,4,2,12
2026-04-14 23:24:00,65,4,BAD_SOCKET,FLOOR,2,4,3,3,12
2026-04-14 23:24:01,65,5,BAD_SOCKET,WALL,2,3,2,2,12
2026-04-14 23:25:05,70,1,BAD_SOCKET,WINDOW_FRAME,4,2,3,2,12
2026-04-14 23:25:05,70,2,BAD_SOCKET,TRIANGLE_FOUNDATION,0,4,3,2,12
2026-04-14 23:25:06,70,3,BAD_SOCKET,TRIANGLE_FLOOR,1,4,3,2,12
2026-04-14 23:25:06,70,4,NO_SUPPORT,DOORWAY,1,2,3,0,12
2026-04-14 23:25:07,70,5,BAD_SOCKET,DOORWAY,6,4,3,2,12
2026-04-14 23:26:34,75,1,BAD_SOCKET,TRIANGLE_FLOOR,2,2,3,2,12
2026-04-14 23:26:34,75,2,BAD_SOCKET,WINDOW_FRAME,3,3,4,3,12
2026-04-14 23:26:35,75,3,BAD_SOCKET,FLOOR,3,2,3,3,12
2026-04-14 23:26:35,75,4,BAD_SOCKET,WINDOW_FRAME,3,3,2,2,12
2026-04-14 23:26:37,75,5,BAD_SOCKET,DOORWAY,5,3,4,1,12
2026-04-14 23:28:05,80,1,BAD_SOCKET,DOORWAY,5,3,4,2,12
2026-04-14 23:28:05,80,2,BAD_SOCKET,WALL,7,5,4,3,12
2026-04-14 23:28:06,80,3,BAD_SOCKET,DOORWAY,6,4,3,3,12
2026-04-14 23:28:06,80,4,BAD_SOCKET,WINDOW_FRAME,4,5,4,2,12
2026-04-14 23:28:08,80,5,NO_SUPPORT,LOOT_ROOM,1,4,4,0,12
2026-04-14 23:29:26,85,1,BAD_SOCKET,WINDOW_FRAME,6,3,4,1,12
2026-04-14 23:29:28,85,3,BAD_SOCKET,TRIANGLE_FLOOR,3,4,3,2,12
2026-04-14 23:29:28,85,4,BAD_SOCKET,TRIANGLE_FLOOR,0,4,3,0,12
2026-04-14 23:29:30,85,5,BAD_SOCKET,DOORWAY,3,5,4,2,12
2026-04-14 23:29:30,85,6,BAD_SOCKET,WALL,2,4,3,0,12
